"","id","date","time","timezone","user_id","tweet","mentions","urls","hashtags","place","photos","hashtags.1","near","processed_tweets","tweets_tokens","triggers","triggers2","triggers3","all_triggers","LOC"
"1",1.23e+18,"27/02/2020",07:25:56,8,2325195296,"Idk how many ppl Ií¢ŒóŒ»ve annoyed with the smell of my serai wangi íÁŒôŒÖŒÊíÁŒôŒ»Œ_Ití¢ŒóŒ»s still better than bad breath / bau ketiak hamis.","[]","[]","[]","North Region, Singapore","[]","[]","Singapore","idk how many ppl ive annoyed with the smell of my serai wangi its still better than bad breath  bau ketiak hamis","['idk', 'how', 'many', 'ppl', 'ive', 'annoyed', 'with', 'the', 'smell', 'of', 'my', 'serai', 'wangi', 'its', 'still', 'better', 'than', 'bad', 'breath', 'bau', 'ketiak', 'hamis']","serai",NA,NA,"serai","bau ketiak"
"2",1.23e+18,"27/02/2020",00:30:54,8,1.16e+18,"why does my bunk smell so fucking bad holy shit","[]","[]","[]","East Region, Singapore","[]","[]","Singapore","why does my bunk smell so fucking bad holy shit","['why', 'does', 'my', 'bunk', 'smell', 'so', 'fucking', 'bad', 'holy', 'shit']",NA,NA,"bunk","bunk",NA
"3",1.23e+18,"26/02/2020",13:31:48,8,625420111,"I SMELL CHILLI CRAB!!!!!! Ughhhh craving","[]","[]","[]","West Region, Singapore","[]","[]","Singapore","i smell chilli crab ughhhh craving","['i', 'smell', 'chilli', 'crab', 'ughhhh', 'craving']",NA,NA,NA,NA,NA
"4",1.23e+18,"24/02/2020",17:39:24,8,271995517,"It's OVERFLOWING YUMMY ~í«Œ_Œ_smell nice í_ŒìŒ_í_Œ_Œçí_ŒìŒ_í«ŒêŒ€í«ŒìŒÂí«ŒÖŒÇí©ŒˆŒë small Happy ~#eugenenitic @ Singapore  https://www.instagram.com/p/B88eVQ3nz1f/?igshid=1tvglv1o5u3pí‰Œæí¢ŒóŒ_","[]","['https://www.instagram.com/p/B88eVQ3nz1f/?igshid=1tvglv1o5u3p']","['#eugenenitic']","Central Region, Singapore","[]","['#eugenenitic']","Singapore","its overflowing yummy smell nice  small happy   singapore https www instagram compb88evq3nz1f igshid 1tvglv1o5u3p","['its', 'overflowing', 'yummy', 'smell', 'nice', 'small', 'happy', 'singapore', 'https', 'www', 'instagram', 'compb88evq3nz1f', 'igshid', '1tvglv1o5u3p']",NA,NA,NA,NA,NA
"5",1.23e+18,"24/02/2020",09:57:12,8,51470591,"Some heteros really doní¢ŒóŒ»t care about how they look and smell.","[]","[]","[]","Central Region, Singapore","[]","[]","Singapore","some heteros really dont care about how they look and smell","['some', 'heteros', 'really', 'dont', 'care', 'about', 'how', 'they', 'look', 'and', 'smell']",NA,NA,NA,NA,NA
"6",1.23e+18,"24/02/2020",09:10:31,8,775793330,"Isnt it more hygienic to do so? Like then got less smell and all?","['boy0nce']","[]","[]","Central Region, Singapore","[]","[]","Singapore","isnt it more hygienic to do so like then got less smell and all","['isnt', 'it', 'more', 'hygienic', 'to', 'do', 'so', 'like', 'then', 'got', 'less', 'smell', 'and', 'all']",NA,NA,NA,NA,NA
"7",1.23e+18,"23/02/2020",16:58:13,8,60524092,"seronok seronok jugak tapi ibarat mcm aku jual name sendiri. oh i hate this part.. satisfied now, smell later. perks of working in front line íÁŒôŒÖŒ‚ https://twitter.com/qianxing_/status/1231109125318176768í‰Œæí¢ŒóŒ_","[]","['https://twitter.com/qianxing_/status/1231109125318176768']","[]","North-East Region, Singapore","[]","[]","Singapore","seronok seronok jugak tapi ibarat mcm aku jual name sendiri oh i hate this part satisfied now smell later perks of working in front line  https twitter comqianxingstatus1231109125318176768","['seronok', 'seronok', 'jugak', 'tapi', 'ibarat', 'mcm', 'aku', 'jual', 'name', 'sendiri', 'oh', 'i', 'hate', 'this', 'part', 'satisfied', 'now', 'smell', 'later', 'perks', 'of', 'working', 'in', 'front', 'line', 'https', 'twitter', 'comqianxingstatus1231109125318176768']",NA,NA,NA,NA,NA
"8",1.23e+18,"23/02/2020",14:30:55,8,1.14e+18,"U SEE MY LAYOUT, WE SMELL A BIO CHAIN","[]","[]","[]","Central Region, Singapore","[]","[]","Singapore","u see my layout we smell a bio chain","['u', 'see', 'my', 'layout', 'we', 'smell', 'a', 'bio', 'chain']",NA,NA,NA,NA,NA
"9",1.23e+18,"21/02/2020",23:44:38,8,237188683,"í¢ŒóŒìbabe i always notice whenever we meet ur hair is still wet and u always smell so goodí¢ŒóŒùthe unnoticeable things like this always make me awwwíÁŒôŒ«Œ_","[]","[]","[]","Central Region, Singapore","[]","[]","Singapore","babe i always notice whenever we meet ur hair is still wet and u always smell so goodthe unnoticeable things like this always make me awww","['babe', 'i', 'always', 'notice', 'whenever', 'we', 'meet', 'ur', 'hair', 'is', 'still', 'wet', 'and', 'u', 'always', 'smell', 'so', 'good', 'the', 'unnoticeable', 'things', 'like', 'this', 'always', 'make', 'me', 'awww']",NA,NA,NA,NA,NA
"10",1.23e+18,"21/02/2020",12:39:48,8,40299150,"My office has a load of Fanta smelling hand sanitizer. How am I supposed to feel clean if my hands smell of artificial oranges?","[]","[]","[]","Central Region, Singapore","[]","[]","Singapore","my office has a load of fanta smelling hand sanitizer how am i supposed to feel clean if my hands smell of artificial oranges","['my', 'office', 'has', 'a', 'load', 'of', 'fanta', 'smelling', 'hand', 'sanitizer', 'how', 'am', 'i', 'supposed', 'to', 'feel', 'clean', 'if', 'my', 'hands', 'smell', 'of', 'artificial', 'oranges']","oranges",NA,"fanta","oranges  fanta",NA
