index,id,processed_tweets,scale
,1.23E+18,"idk how many ppl ive annoyed with the smell of my serai wangi its still better than bad breath  bau ketiak hamis ",
smokey,1.23E+18, west side of singapore has smokey smell for the past few days ,
curry,1.23E+18,"its smoked duck linguine for lunch today  smell curry hit i couldnt cook curry    tampines https www instagram compb8ip 0xnbgjr7tsrsi3 crcwhxlfudyhqer bk0 igshid qu9309gwh796",PA
,1.23E+18,"entered the van and i keep telling him why smell of food he step tk faham what i was talking abt saying maybe i hunghry tts y i smell food dlm van dia tau2 bila sampai carpark he kluarkan my fav tom yum ban mian kemain lagi dah pandai nk surprise2 kan kita ",
mala,1.22E+18,had hotpot before my flight now i smell like mala  crab  pork belly im sorry person who has to sit next to me at our flight later ,N
durian,1.22E+18,mum gave me this durian nicely packed no smell but when you open it wah   first centre office https www instagram compb7n0rtah8 o igshid 3jq7lc87lvns,point
,1.22E+18,"cant wait to smell pretty much the only world that i can afford   jurong east singapore https www instagram compb7jdelqgx0l igshid y787t55gmzji",PA
spices,1.21E+18,loving the smell of spices this morning tosai here i come  little india https www instagram compb6eh9qgby9  igshid 1n6wh844ta2m2,PA
,1.20E+18,philippines  i can smell the crown gazini ganados is way far to thailand venezuela and colombia whaaaaa lets claim a b2b crown  ,
nature,1.19E+18,take it easy walk its been 3 weeks since i came out my knee is better the smell of nature is beautiful  reflections at bukit chandu in singapore https www swarmapp comcb1gu6xmkz8d,Park
baby,1.18E+18,can i just stay with izoraa they whole dayy idk why but baby smell are the best smell especially right after bila dorang baru habis mandii,
petrichor,1.18E+18,"the smell of petrichor again after so long    after so long  pic twitter comkk2rddnald",
shit,1.17E+18,why does bishan mrt smell like actual shit today,mrt
,1.17E+18,smell more poison  brighton accessories house in sgp https www swarmapp comc9gobrsg9khw,
chocolate,1.17E+18,can anyone explain why the fuck jurong west  boon lay sec there always got one chocolate smell willy wonka factory behind ,point
hay,1.17E+18,no smell fast loop make hay while the sun shines  reflections at bukit chandu in singapore https www swarmapp comcebciut1veh4,park
sg,1.17E+18,i think i can smell the air of sg  woodlands checkpoint causeway in singapore https www swarmapp comc5968skga0f9,point
socks,1.17E+18,this harmless looking fruit is banned from all public transport  most hotels in singapore the smell allegedly lingers  resembles worn sports socks but those that have been left in a bag for 2 weeks  i tasted a bit today and now totally understand the ban pic twitter comj99b0nztcd,n
,1.17E+18,cant stay that long in little india tbh no offense but the smell is killing me im gonna pass out fr ,PA 
incense,1.16E+18,little india in is a place with lots of character full of music smell of incense  good curries  la pequea india en es un lugar mgico lleno msica olor a incienso y buenos curris mada pic twitter comiodqcy94x5,PA 
armpits,1.16E+18,"cos his armpits smell like roses and hes as red as a cherry tomato   sumang lrt station https www instagram compb01avo8b6jq igshid befxw54lin7z",mrt
you,1.16E+18, doesnt matter if you smell after eating as long as its yummy   korean fusion bbq https www instagram compb0xro3chrnj igshid njdkih99550u,point
,1.15E+18,"thanks for being awesome and friendships forged during my years in the bluebox amex armpits love to yall just smell it  mfbzaishaylvkphotographyjoshua yaphaleem https www instagram compb0yfc yn47b igshid 7kwry9bar207",
air,1.15E+18,outside air smell better d  lim chu kang singapore https www instagram compb0vkug5fgrgwux387ek2qm6pnsjr6v4d3bfvn00 igshid onlykyi6kik1,PA
bookstore,1.15E+18,still like the smell of a bookstore  city square mall singapore https www instagram compbzz5qfyjiwhqoefa0lx7sntdc53esn4pr q5gw0 igshid 1tcekic7ghw5b,point
body,1.14E+18,"sial the stages of odour regular sweat smellbody musk smellmasam musk smell yang boleh buat orang muntah like because the air blows from their side to you so thats all you fucken smell that old whole day sweat and body odourtukar baju la sua pengsan ah aku dlm lrt",
worse,1.13E+18,bishan mrt station has the worse smell evaaaaa ya ampun bau kentut ehhhh everytime tauuuuuu busuk siak,mrt
,1.13E+18," with stivessg just launched at guardiansg a range of sheet masks really feels 100 cotton soft and natural extracts you can smell its freshness totally in need of a good break and time to https www instagram compbxeet7fhcs0 igshid 19auuw79tisc5",
foul,1.13E+18,throwback to yesterday lunch  beach road prawn noodle  personally i like the pig tail noodle and this is one of the rare hawker that the pig tails do not have a foul smell and taste to https www instagram compbxogbexgy1g utmsource igtwittershareigshid 10p4t15c96x1k,point
,1.12E+18,why does jurong east always smell like shit,PA
flower,1.12E+18,"stop n smell the flower   tuas singapore https www instagram compbwjapaoh8gy utmsource igtwittershareigshid 1fenpbakv6g87",PA
books,1.12E+18,i love windy days coffee shops smell of old books and  clarke quay https www instagram compbwtuwhyblef utmsource igtwittershareigshid ogrzjcisohss,point
rubber,1.12E+18,idk why but each time the train is reaching to tiong bahru station theres this smelly rubber burning smell flooding the train ,mrt
smoke,1.12E+18,i live 100km from rampant closed canopy forest clearing in indonesia here the smell of smoke is common these rapacious vandals  the politicians who abet them are no better than the oil palm barrons such environmental criminality whats the kick back for the politicians https twitter commivoicetoostatus1114345550780887040,
latte,1.12E+18,the smell of starbucks latte is tempting me to get it but my wallet is crying ,point
buns,1.11E+18,can you smell the best hot x buns in town  baker  cook singapore https www instagram compbvysrifbp8h utmsource igtwittershareigshid 1hms0xlfayg3o,point
shit,1.11E+18,yishun suddenly got a shit smell dunno from where one wtf damn grossssssasaaaa,PA
,1.10E+18,the smell  beejies house https www swarmapp comclq2krqoy8na,
,1.10E+18,smell the poisonnnnnn  brighton accessories house in sgp https www swarmapp comcbtv4vxpbwer,
sea,1.09E+18,smell the sea and feel the sky   uluwatu cliff temple https www instagram compbtfzfntheucdrdcdywirgrqsc784isaomof4fw0 utmsource igtwittershareigshid 1d045ix4u8hj7,point
baby,1.07E+18,baby smell is sweeter when they sleeping  thomson medical https www instagram compbrj5dmclv7n utmsource igtwittershareigshid cyktj7tunuyr,point
,1.07E+18, just follow the smell haha  young living https www swarmapp comc1glz0rlrbfd,
ord,1.07E+18,ord smell getting stronger  stronger  nee soon medical centre in singapore https www swarmapp comc7dvghfxn5w0,point
holidays,1.05E+18,"i smell my holidays coming in  andreealam  emerald hill singapore https www instagram compbpd8wvqfz6j utmsource igtwittershareigshid v5qxufhjf6p2",neighborhood
